block_number,CPU Usage,IP
2,7.7,http://192.168.0.176:5000
3,7.0,http://192.168.0.176:5000
4,12.3,http://192.168.0.176:5000
5,6.3,http://192.168.0.176:5000
6,6.5,http://192.168.0.176:5000
7,14.4,http://192.168.0.176:5000
8,6.0,http://192.168.0.176:5000
9,8.0,http://192.168.0.176:5000
10,4.4,http://192.168.0.176:5000
11,13.0,http://192.168.0.176:5000
12,9.7,http://192.168.0.176:5000
13,4.4,http://192.168.0.176:5000
14,3.4,http://192.168.0.176:5000
15,6.3,http://192.168.0.176:5000
16,2.8,http://192.168.0.176:5000
17,5.7,http://192.168.0.176:5000
18,6.0,http://192.168.0.176:5000
19,17.8,http://192.168.0.176:5000
20,7.2,http://192.168.0.176:5000
21,5.9,http://192.168.0.176:5000
22,16.8,http://192.168.0.176:5000
23,3.4,http://192.168.0.176:5000
24,4.0,http://192.168.0.176:5000
25,8.3,http://192.168.0.176:5000
26,6.3,http://192.168.0.176:5000
27,3.6,http://192.168.0.176:5000
28,14.1,http://192.168.0.176:5000
29,27.2,http://192.168.0.176:5000
30,10.1,http://192.168.0.176:5000
31,14.3,http://192.168.0.176:5000
32,5.1,http://192.168.0.176:5000
33,18.8,http://192.168.0.176:5000
34,10.3,http://192.168.0.176:5000
35,4.6,http://192.168.0.176:5000
36,7.1,http://192.168.0.176:5000
37,6.0,http://192.168.0.176:5000
38,7.8,http://192.168.0.176:5000
39,10.9,http://192.168.0.176:5000
40,7.8,http://192.168.0.176:5000
41,6.5,http://192.168.0.176:5000
42,5.2,http://192.168.0.176:5000
43,4.1,http://192.168.0.176:5000
44,4.7,http://192.168.0.176:5000
45,4.3,http://192.168.0.176:5000
46,5.1,http://192.168.0.176:5000
47,5.0,http://192.168.0.176:5000
48,8.6,http://192.168.0.176:5000
49,4.9,http://192.168.0.176:5000
50,10.3,http://192.168.0.176:5000
51,6.8,http://192.168.0.176:5000
52,2.8,http://192.168.0.176:5000
53,7.8,http://192.168.0.176:5000
54,8.6,http://192.168.0.176:5000
55,6.0,http://192.168.0.176:5000
56,4.2,http://192.168.0.176:5000
57,12.5,http://192.168.0.176:5000
58,3.3,http://192.168.0.176:5000
59,4.9,http://192.168.0.176:5000
60,6.5,http://192.168.0.176:5000
61,6.8,http://192.168.0.176:5000
62,9.6,http://192.168.0.176:5000
63,4.5,http://192.168.0.176:5000
64,6.5,http://192.168.0.176:5000
65,8.9,http://192.168.0.176:5000
66,9.8,http://192.168.0.176:5000
67,5.8,http://192.168.0.176:5000
68,11.6,http://192.168.0.176:5000
69,4.6,http://192.168.0.176:5000
70,11.7,http://192.168.0.176:5000
71,3.1,http://192.168.0.176:5000
72,8.2,http://192.168.0.176:5000
73,6.7,http://192.168.0.176:5000
74,14.6,http://192.168.0.176:5000
75,7.7,http://192.168.0.176:5000
76,6.8,http://192.168.0.176:5000
77,2.7,http://192.168.0.176:5000
78,2.3,http://192.168.0.176:5000
79,5.6,http://192.168.0.176:5000
80,8.1,http://192.168.0.176:5000
81,4.5,http://192.168.0.176:5000
82,6.6,http://192.168.0.176:5000
83,9.2,http://192.168.0.176:5000
84,5.7,http://192.168.0.176:5000
85,7.1,http://192.168.0.176:5000
86,4.8,http://192.168.0.176:5000
87,4.6,http://192.168.0.176:5000
88,3.1,http://192.168.0.176:5000
89,6.4,http://192.168.0.176:5000
90,5.4,http://192.168.0.176:5000
91,3.5,http://192.168.0.176:5000
92,10.0,http://192.168.0.176:5000
93,8.9,http://192.168.0.176:5000
94,5.0,http://192.168.0.176:5000
95,6.2,http://192.168.0.176:5000
96,8.7,http://192.168.0.176:5000
97,4.8,http://192.168.0.176:5000
98,4.9,http://192.168.0.176:5000
99,7.8,http://192.168.0.176:5000
100,5.1,http://192.168.0.176:5000
101,17.9,http://192.168.0.176:5000
102,5.6,http://192.168.0.176:5000
103,3.4,http://192.168.0.176:5000
104,8.3,http://192.168.0.176:5000
105,4.8,http://192.168.0.176:5000
106,7.4,http://192.168.0.176:5000
107,6.1,http://192.168.0.176:5000
108,5.7,http://192.168.0.176:5000
109,13.1,http://192.168.0.176:5000
110,6.6,http://192.168.0.176:5000
111,7.1,http://192.168.0.176:5000
112,8.8,http://192.168.0.176:5000
113,3.3,http://192.168.0.176:5000
114,10.7,http://192.168.0.176:5000
115,10.9,http://192.168.0.176:5000
116,4.9,http://192.168.0.176:5000
117,2.1,http://192.168.0.176:5000
118,9.5,http://192.168.0.176:5000
119,5.4,http://192.168.0.176:5000
120,7.3,http://192.168.0.176:5000
121,12.1,http://192.168.0.176:5000
122,4.7,http://192.168.0.176:5000
123,3.5,http://192.168.0.176:5000
124,9.8,http://192.168.0.176:5000
125,9.5,http://192.168.0.176:5000
126,7.5,http://192.168.0.176:5000
127,5.1,http://192.168.0.176:5000
128,4.4,http://192.168.0.176:5000
129,5.2,http://192.168.0.176:5000
130,6.0,http://192.168.0.176:5000
131,3.2,http://192.168.0.176:5000
132,6.9,http://192.168.0.176:5000
133,6.7,http://192.168.0.176:5000
134,4.1,http://192.168.0.176:5000
135,4.7,http://192.168.0.176:5000
136,7.5,http://192.168.0.176:5000
137,2.7,http://192.168.0.176:5000
138,38.0,http://192.168.0.176:5000
139,4.7,http://192.168.0.176:5000
140,25.8,http://192.168.0.176:5000
141,8.7,http://192.168.0.176:5000
142,2.4,http://192.168.0.176:5000
143,13.8,http://192.168.0.176:5000
144,10.2,http://192.168.0.176:5000
145,3.3,http://192.168.0.176:5000
146,5.6,http://192.168.0.176:5000
147,19.2,http://192.168.0.176:5000
148,8.4,http://192.168.0.176:5000
149,9.9,http://192.168.0.176:5000
150,9.7,http://192.168.0.176:5000
151,7.7,http://192.168.0.176:5000
152,8.4,http://192.168.0.176:5000
153,6.5,http://192.168.0.176:5000
154,5.8,http://192.168.0.176:5000
155,3.2,http://192.168.0.176:5000
156,12.6,http://192.168.0.176:5000
157,7.4,http://192.168.0.176:5000
158,3.4,http://192.168.0.176:5000
159,3.0,http://192.168.0.176:5000
160,7.3,http://192.168.0.176:5000
161,7.1,http://192.168.0.176:5000
162,5.6,http://192.168.0.176:5000
163,6.5,http://192.168.0.176:5000
164,11.3,http://192.168.0.176:5000
165,7.8,http://192.168.0.176:5000
166,4.9,http://192.168.0.176:5000
167,4.6,http://192.168.0.176:5000
168,3.4,http://192.168.0.176:5000
169,2.7,http://192.168.0.176:5000
170,2.7,http://192.168.0.176:5000
171,4.0,http://192.168.0.176:5000
172,2.6,http://192.168.0.176:5000
173,1.8,http://192.168.0.176:5000
174,5.1,http://192.168.0.176:5000
175,5.0,http://192.168.0.176:5000
176,2.4,http://192.168.0.176:5000
177,1.7,http://192.168.0.176:5000
178,3.6,http://192.168.0.176:5000
179,3.6,http://192.168.0.176:5000
180,3.5,http://192.168.0.176:5000
181,2.4,http://192.168.0.176:5000
182,2.3,http://192.168.0.176:5000
183,2.7,http://192.168.0.176:5000
184,3.9,http://192.168.0.176:5000
185,5.3,http://192.168.0.176:5000
186,4.9,http://192.168.0.176:5000
187,2.0,http://192.168.0.176:5000
188,1.7,http://192.168.0.176:5000
189,2.0,http://192.168.0.176:5000
190,14.3,http://192.168.0.176:5000
191,3.4,http://192.168.0.176:5000
192,2.0,http://192.168.0.176:5000
193,3.4,http://192.168.0.176:5000
194,2.9,http://192.168.0.176:5000
195,1.6,http://192.168.0.176:5000
196,5.6,http://192.168.0.176:5000
197,4.0,http://192.168.0.176:5000
198,3.7,http://192.168.0.176:5000
199,3.4,http://192.168.0.176:5000
200,3.2,http://192.168.0.176:5000
201,1.8,http://192.168.0.176:5000
